Temparature,Humidity,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26,52,Maize,37,0,0,Urea
29,52,Sugarcane,12,0,36,DAP
34,65,Cotton,7,9,30,14-35-14
32,62,Tobacco,22,0,20,28-28
28,54,Paddy,35,0,0,Urea
26,52,Barley,12,10,13,17-17-17
25,50,Cotton,9,0,10,20-20
33,64,Wheat,41,0,0,Urea
30,60,Millets,21,0,18,28-28
29,58,Oil seeds,9,7,30,14-35-14
27,54,Pulses,13,0,40,DAP
31,62,Maize,14,15,12,17-17-17
25,50,Cotton,36,0,0,Urea
32,62,Paddy,24,0,22,28-28
26,52,Ground Nuts,14,0,41,DAP
31,62,Sugarcane,10,13,14,17-17-17
33,64,Pulses,38,0,0,Urea
25,50,Barley,21,0,19,28-28
28,54,Cotton,39,0,0,Urea
29,58,Wheat,13,0,36,DAP
30,60,Millets,10,0,9,20-20
34,65,Sugarcane,12,14,12,17-17-17
35,68,Tobacco,11,0,37,DAP
28,54,Millets,36,0,0,Urea
33,64,Paddy,13,0,10,20-20
26,52,Maize,23,0,20,28-28
30,60,Cotton,9,9,29,14-35-14
32,62,Sugarcane,38,0,0,Urea
37,70,Oil seeds,12,0,39,DAP
26,52,Pulses,14,0,13,20-20
29,58,Ground Nuts,24,0,23,28-28
30,60,Sugarcane,12,0,40,DAP
34,65,Paddy,39,0,0,Urea
36,68,Barley,7,9,30,14-35-14
26,52,Wheat,23,0,19,28-28
28,54,Millets,41,0,0,Urea
30,60,Cotton,8,10,31,14-35-14
37,70,Paddy,12,0,41,DAP
25,50,Ground Nuts,15,14,11,17-17-17
29,58,Millets,15,0,37,DAP
27,54,Pulses,13,0,13,20-20
30,60,Sugarcane,10,7,32,14-35-14
32,62,Tobacco,22,0,24,28-28
34,65,Sugarcane,35,0,0,Urea
35,67,Barley,10,0,35,DAP
38,70,Wheat,8,8,28,14-35-14
26,52,Oil seeds,12,0,8,20-20
29,58,Paddy,24,0,18,28-28
30,60,Ground Nuts,41,0,0,Urea
33,64,Maize,5,9,29,14-35-14
34,65,Tobacco,23,0,21,28-28
36,68,Oil seeds,13,0,14,20-20
28,54,Pulses,40,0,0,Urea
30,60,Barley,12,0,42,DAP
31,62,Cotton,11,12,15,17-17-17
27,53,Millets,23,0,24,28-28
34,65,Wheat,38,0,0,Urea
29,58,Millets,8,0,15,20-20
25,50,Sugarcane,11,13,15,17-17-17
32,62,Ground Nuts,15,0,37,DAP
28,54,Paddy,36,0,0,Urea
30,60,Wheat,13,0,9,20-20
34,65,Cotton,24,0,20,28-28
28,54,Barley,5,18,15,10-26-26
27,53,Oil seeds,37,0,0,Urea
36,68,Cotton,15,0,40,DAP
34,65,Sugarcane,9,0,13,20-20
29,58,Sugarcane,8,8,33,14-35-14
25,50,Pulses,6,19,16,10-26-26
30,60,Millets,10,0,14,20-20
26,52,Pulses,21,0,23,28-28
31,62,Tobacco,39,0,0,Urea
34,65,Wheat,23,0,19,28-28
27,53,Oil seeds,42,0,0,Urea
33,64,Ground Nuts,13,0,39,DAP
29,58,Paddy,9,10,22,14-35-14
30,60,Maize,22,0,21,28-28
27,53,Sugarcane,10,0,15,20-20
26,52,Pulses,7,16,20,10-26-26
34,65,Cotton,14,0,38,DAP
28,54,Paddy,10,8,29,14-35-14
30,60,Millets,41,0,0,Urea
29,58,Cotton,14,0,35,DAP
26,52,Sugarcane,11,0,9,20-20
31,62,Barley,21,0,28,28-28
35,67,Pulses,8,7,31,14-35-14
29,58,Tobacco,13,17,16,10-26-26
27,53,Millets,35,0,0,Urea
36,68,Wheat,12,18,19,10-26-26
29,58,Cotton,11,0,38,DAP
30,60,Oil seeds,8,9,30,14-35-14
34,65,Paddy,6,19,21,10-26-26
36,68,Ground Nuts,41,0,0,Urea
28,54,Maize,9,10,30,14-35-14
25,50,Pulses,24,0,19,28-28
30,60,Tobacco,4,17,17,10-26-26
38,72,Wheat,39,0,0,Urea
36,60,Millets,15,0,41,DAP
29,58,Sugarcane,12,0,10,20-20
